video_id,valid_window_count,target_mean,orig_pred_mean,cal_pred_mean,orig_mae,cal_mae,delta_mae,is_improved,is_worsened
DHF1K_601,49,0.8966,0.8344,0.8326,0.0673,0.0687,0.0014,False,True
DHF1K_602,22,0.8431,0.8431,0.8406,0.0448,0.0451,0.0003,False,True
DHF1K_603,73,0.8441,0.8378,0.8359,0.0391,0.0395,0.0003,False,True
DHF1K_604,49,0.8625,0.8485,0.849,0.0406,0.0404,-0.0002,True,False
DHF1K_605,45,0.8305,0.8534,0.8518,0.043,0.0424,-0.0006,True,False
DHF1K_606,62,0.8404,0.8402,0.842,0.0513,0.0512,-0.0001,False,False
DHF1K_607,53,0.8611,0.8405,0.8415,0.0327,0.0323,-0.0004,True,False
DHF1K_608,51,0.8406,0.8395,0.8406,0.0368,0.0367,-0.0001,False,False
DHF1K_609,63,0.871,0.8447,0.8454,0.0379,0.0376,-0.0003,True,False
DHF1K_610,29,0.845,0.8469,0.8479,0.0496,0.0495,-0.0001,True,False
DHF1K_611,49,0.8296,0.8383,0.8366,0.0341,0.0339,-0.0002,True,False
DHF1K_612,51,0.8599,0.8329,0.8356,0.04,0.0383,-0.0016,True,False
DHF1K_613,36,0.7932,0.8451,0.8434,0.0671,0.066,-0.001,True,False
DHF1K_614,34,0.8202,0.8432,0.844,0.0463,0.0466,0.0003,False,True
DHF1K_615,42,0.8666,0.8385,0.8366,0.0362,0.0378,0.0016,False,True
DHF1K_616,56,0.8089,0.8405,0.8423,0.0427,0.0435,0.0009,False,True
DHF1K_617,53,0.8877,0.8429,0.8443,0.0538,0.0526,-0.0012,True,False
DHF1K_618,31,0.7884,0.8499,0.8502,0.0649,0.0651,0.0002,False,True
DHF1K_619,20,0.8273,0.8321,0.8304,0.0491,0.0494,0.0003,False,True
DHF1K_620,56,0.7954,0.842,0.8429,0.0609,0.0615,0.0006,False,True
DHF1K_621,27,0.8698,0.827,0.8264,0.0574,0.0575,0.0001,False,False
DHF1K_622,16,0.9078,0.8454,0.8426,0.0623,0.0651,0.0028,False,True
DHF1K_623,55,0.8747,0.8513,0.8496,0.0393,0.0403,0.001,False,True
DHF1K_624,46,0.8507,0.8476,0.8445,0.0328,0.033,0.0002,False,True
DHF1K_625,35,0.8878,0.8459,0.8465,0.0438,0.0433,-0.0005,True,False
DHF1K_626,19,0.7662,0.8491,0.8494,0.1004,0.1007,0.0003,False,True
DHF1K_627,40,0.8464,0.8238,0.8276,0.034,0.0325,-0.0016,True,False
DHF1K_628,49,0.8589,0.8514,0.8516,0.0312,0.031,-0.0001,True,False
DHF1K_629,64,0.8723,0.8499,0.8505,0.0515,0.0513,-0.0003,True,False
DHF1K_630,62,0.8604,0.8502,0.8468,0.0292,0.0305,0.0013,False,True
DHF1K_631,56,0.8346,0.842,0.8403,0.0452,0.0453,0.0001,False,False
DHF1K_632,48,0.8491,0.8502,0.8485,0.0253,0.0255,0.0002,False,True
DHF1K_633,39,0.874,0.8422,0.845,0.045,0.0436,-0.0014,True,False
DHF1K_634,60,0.8312,0.8411,0.8394,0.029,0.0289,-0.0001,False,False
DHF1K_635,50,0.834,0.8491,0.8495,0.0481,0.0482,0.0001,False,True
DHF1K_636,34,0.8015,0.829,0.8322,0.0657,0.067,0.0013,False,True
DHF1K_637,43,0.8405,0.8365,0.8378,0.0317,0.0317,0.0,False,False
DHF1K_638,30,0.852,0.8404,0.8382,0.0758,0.0759,0.0001,False,True
DHF1K_639,35,0.9019,0.8428,0.8437,0.0623,0.0615,-0.0008,True,False
DHF1K_640,31,0.8721,0.8466,0.8449,0.0447,0.0457,0.001,False,True
DHF1K_641,28,0.8277,0.8424,0.8439,0.0418,0.0419,0.0001,False,False
DHF1K_642,39,0.7676,0.8386,0.8413,0.0718,0.0741,0.0023,False,True
DHF1K_643,54,0.8087,0.8397,0.8415,0.0518,0.0527,0.0009,False,True
DHF1K_644,61,0.83,0.8381,0.8407,0.049,0.0491,0.0001,False,True
DHF1K_645,40,0.8309,0.843,0.8413,0.0422,0.0419,-0.0003,True,False
DHF1K_646,20,0.8846,0.8439,0.8422,0.0453,0.0469,0.0015,False,True
DHF1K_647,20,0.8397,0.8412,0.8439,0.0376,0.0379,0.0003,False,True
DHF1K_648,56,0.8367,0.8418,0.8434,0.0407,0.0412,0.0005,False,True
DHF1K_649,36,0.8018,0.8363,0.8389,0.0449,0.046,0.0012,False,True
DHF1K_650,54,0.8226,0.845,0.8457,0.0384,0.0387,0.0003,False,True
DHF1K_651,79,0.8278,0.8433,0.8461,0.0508,0.0511,0.0003,False,True
DHF1K_652,38,0.8692,0.85,0.8467,0.0468,0.048,0.0011,False,True
DHF1K_653,33,0.8268,0.8428,0.8403,0.03,0.0293,-0.0006,True,False
DHF1K_654,28,0.8871,0.8429,0.8412,0.0613,0.0623,0.001,False,True
DHF1K_655,32,0.8838,0.8818,0.8855,0.0323,0.0313,-0.001,True,False
DHF1K_656,27,0.7784,0.8076,0.8134,0.0333,0.0375,0.0041,False,True
DHF1K_657,35,0.8616,0.814,0.8161,0.055,0.0534,-0.0016,True,False
DHF1K_658,28,0.8523,0.8382,0.8408,0.0272,0.0259,-0.0012,True,False
DHF1K_659,19,0.8152,0.8287,0.8312,0.0262,0.0271,0.0009,False,True
DHF1K_660,35,0.848,0.8452,0.8481,0.044,0.0434,-0.0006,True,False
DHF1K_661,31,0.8793,0.848,0.8449,0.0452,0.0471,0.002,False,True
DHF1K_662,46,0.7954,0.8402,0.8429,0.0578,0.0593,0.0015,False,True
