rank,feature_name,importance_gini,cumulative_share
1,contrast,0.0468,0.0468
2,contrast_lead1,0.0457,0.0925
3,text_presence,0.0446,0.1371
4,brightness_mean_lead1,0.0441,0.1811
5,contrast_lag1,0.0433,0.2244
6,text_presence_lag1,0.0417,0.2662
7,brightness_mean_lag1,0.0411,0.3073
8,brightness_mean,0.0409,0.3482
9,text_presence_lead1,0.0384,0.3866
10,visual_complexity,0.0376,0.4242
11,visual_complexity_lag1,0.0364,0.4606
12,visual_complexity_lead1,0.0351,0.4958
13,motion_magnitude_lag1,0.0268,0.5225
14,audio_spectral_centroid_lead1,0.0254,0.5479
15,time_since_cut_lag1,0.0239,0.5718
16,audio_spectral_centroid,0.0236,0.5954
17,time_since_cut_lead1,0.023,0.6184
18,time_since_cut,0.023,0.6414
19,audio_spectral_centroid_lag1,0.023,0.6644
20,motion_magnitude,0.0227,0.6871
21,audio_speech_presence_lag1,0.0226,0.7097
22,motion_magnitude_lead1,0.0223,0.732
23,audio_silence_ratio_lead1,0.0214,0.7534
24,audio_speech_presence,0.0212,0.7746
25,audio_speech_presence_lead1,0.0211,0.7958
26,audio_silence_ratio_lag1,0.0195,0.8152
27,audio_rms_lead1,0.0188,0.8341
28,audio_rms_lag1,0.0188,0.8528
29,audio_silence_ratio,0.0177,0.8705
30,audio_rms,0.0172,0.8877
31,motion_std_lag1,0.0163,0.904
32,motion_std_lead1,0.0153,0.9193
33,motion_std,0.0152,0.9345
34,brightness_std_lag1,0.0127,0.9472
35,face_presence_lag1,0.0122,0.9594
36,brightness_std,0.0111,0.9706
37,face_presence_lead1,0.0107,0.9813
38,brightness_std_lead1,0.0104,0.9917
39,face_presence,0.008,0.9997
40,scene_cut_rate,0.0002,0.9999
41,scene_cut_rate_lag1,0.0001,1.0
42,scene_cut_rate_lead1,0.0,1.0
