video_id,valid_windows,base_mae,new_mae,delta_mae,status
DHF1K_601,49,0.0673,0.0677,0.0004,worsened
DHF1K_602,22,0.0448,0.0471,0.0023,worsened
DHF1K_603,73,0.0391,0.0395,0.0003,worsened
DHF1K_604,49,0.0406,0.0405,-0.0001,unchanged
DHF1K_605,45,0.043,0.0427,-0.0003,improved
DHF1K_606,62,0.0513,0.0512,-0.0001,improved
DHF1K_607,53,0.0327,0.0333,0.0006,worsened
DHF1K_608,51,0.0368,0.0374,0.0007,worsened
DHF1K_609,63,0.0379,0.0377,-0.0002,improved
DHF1K_610,29,0.0496,0.0496,0.0001,unchanged
DHF1K_611,49,0.0341,0.0333,-0.0008,improved
DHF1K_612,51,0.04,0.0427,0.0028,worsened
DHF1K_613,36,0.0671,0.0669,-0.0002,improved
DHF1K_614,34,0.0463,0.0461,-0.0001,improved
DHF1K_615,42,0.0362,0.0397,0.0034,worsened
DHF1K_616,56,0.0427,0.0412,-0.0015,improved
DHF1K_617,53,0.0537,0.0496,-0.0042,improved
DHF1K_618,31,0.0649,0.0651,0.0003,worsened
DHF1K_619,20,0.0491,0.0489,-0.0002,improved
DHF1K_620,56,0.0609,0.0614,0.0005,worsened
DHF1K_621,27,0.0574,0.0572,-0.0002,improved
DHF1K_622,16,0.0624,0.0606,-0.0018,improved
DHF1K_623,55,0.0393,0.0383,-0.0011,improved
DHF1K_624,46,0.0328,0.0329,0.0001,unchanged
DHF1K_625,35,0.0438,0.0427,-0.0012,improved
DHF1K_626,19,0.1004,0.0992,-0.0012,improved
DHF1K_627,40,0.034,0.0376,0.0036,worsened
DHF1K_628,49,0.0311,0.0302,-0.001,improved
DHF1K_629,64,0.0515,0.052,0.0005,worsened
DHF1K_630,62,0.0292,0.0322,0.0029,worsened
DHF1K_631,56,0.0452,0.043,-0.0022,improved
DHF1K_632,48,0.0253,0.0244,-0.0009,improved
DHF1K_633,39,0.045,0.0485,0.0036,worsened
DHF1K_634,60,0.029,0.029,0.0,unchanged
DHF1K_635,50,0.0481,0.0505,0.0025,worsened
DHF1K_636,34,0.0657,0.0636,-0.0021,improved
DHF1K_637,43,0.0317,0.0317,0.0,unchanged
DHF1K_638,30,0.0758,0.0752,-0.0006,improved
DHF1K_639,35,0.0623,0.0627,0.0004,worsened
DHF1K_640,31,0.0447,0.0452,0.0004,worsened
DHF1K_641,28,0.0418,0.0409,-0.0009,improved
DHF1K_642,39,0.0718,0.0704,-0.0014,improved
DHF1K_643,54,0.0518,0.0516,-0.0002,improved
DHF1K_644,61,0.049,0.0492,0.0003,worsened
DHF1K_645,40,0.0422,0.0415,-0.0008,improved
