feature,pearson_r,pearson_p_raw,spearman_rho,spearman_p_raw,effect_size_r2,best_10_mean,worst_10_mean,feature_delta_worst_minus_best,pearson_q_fdr,spearman_q_fdr,significant_fdr_05
motion_magnitude,-0.1218,1.3269954668938922e-14,-0.0953,1.8020465087605273e-09,0.0148,0.0415,0.0188,-0.0227,1.857793653651449e-13,1.261432556132369e-08,True
motion_std,-0.0965,1.1301949562713382e-09,-0.0955,1.6257550286757427e-09,0.0093,0.0203,0.0055,-0.0148,7.911364693899367e-09,1.261432556132369e-08,True
contrast,0.0714,6.618037362998197e-06,0.0527,0.0008965342689297297,0.0051,0.2565,0.2631,0.0066,3.0884174360658254e-05,0.0020919132941693694,True
brightness_mean,-0.0591,0.00019448661206207212,-0.0569,0.0003308427943923902,0.0035,0.5327,0.4372,-0.0955,0.0006632649385121535,0.0011579497803733659,True
audio_speech_presence,0.0583,0.00023688033518291197,0.0531,0.0008243832279975355,0.0034,0.436,0.6435,0.2074,0.0006632649385121535,0.0020919132941693694,True
brightness_std,-0.0506,0.0014173900408642743,-0.0903,1.2142654698503371e-08,0.0026,0.0084,0.0054,-0.003,0.003307243428683307,5.666572192634907e-08,True
text_presence,0.036,0.023428896744657462,0.041,0.009710452163626817,0.0013,0.1537,0.1872,0.0335,0.046857793489314924,0.019420904327253633,True
time_since_cut,-0.0306,0.05362776574816658,-0.0162,0.3064584242922929,0.0009,10.5391,8.9484,-1.5907,0.09384859005929151,0.39003799455382737,False
face_presence,0.0258,0.10368269836618937,0.0205,0.19729765252337156,0.0007,0.0634,0.0172,-0.0463,0.1612841974585168,0.27621671353272015,False
audio_rms,-0.0215,0.1757522807097587,-0.0137,0.3896236968676204,0.0005,0.1025,0.0931,-0.0094,0.24605319299366218,0.4545609796788905,False
visual_complexity,0.0128,0.4194177386519293,0.0279,0.07895614605293903,0.0002,1.8564,1.9149,0.0585,0.4893206950939175,0.12282067163790517,False
audio_spectral_centroid,0.0151,0.342100429078673,-0.0016,0.9183849330398016,0.0002,1634.8557,1885.974,251.1183,0.43540054610012924,0.9183849330398016,False
scene_cut_rate,0.0064,0.6853689612462227,-0.0027,0.8665658905561909,0.0,0.0106,0.0056,-0.005,0.7380896505728551,0.9183849330398016,False
audio_silence_ratio,-0.0046,0.7729759613457224,0.0345,0.029587310028740117,0.0,0.3707,0.3224,-0.0483,0.7729759613457224,0.0517777925502952,False
