video_id,valid_window_count,target_mean,target_std,pred_mean,pred_std,mae,rmse,r2,pearson_r,pearson_p,spearman_rho,spearman_p,bias,correlation_reliable
DHF1K_698,28,0.8161,0.0247,0.8375,0.0027,0.0246,0.0331,-0.8015,-0.1798,0.35991296921066085,-0.2916,0.1321423440419285,0.0214,True
DHF1K_632,48,0.8491,0.0307,0.8502,0.0057,0.0253,0.0314,-0.0452,-0.026,0.8606918771736372,-0.0541,0.7151173937932946,0.0011,True
DHF1K_659,19,0.8152,0.0304,0.8287,0.0023,0.0262,0.0321,-0.1136,0.5838,0.008684373486465115,0.7387,0.0003034678049013806,0.0135,True
DHF1K_658,28,0.8523,0.0281,0.8382,0.0025,0.0272,0.0313,-0.2392,0.1246,0.5276391873321584,-0.0893,0.6514705164934205,-0.0141,True
DHF1K_683,31,0.8507,0.0333,0.834,0.0086,0.0279,0.0336,-0.0147,0.5872,0.0005148428375134963,0.6296,0.0001479791896471373,-0.0167,True
DHF1K_666,48,0.8475,0.0308,0.8399,0.0027,0.0283,0.032,-0.0742,-0.0274,0.8533951963599906,-0.0711,0.6308530614799995,-0.0077,True
DHF1K_634,60,0.8312,0.0364,0.8411,0.0028,0.029,0.0376,-0.068,0.0768,0.5597971464423415,0.0987,0.4530587155774024,0.0099,True
DHF1K_630,62,0.8604,0.0344,0.8502,0.0082,0.0292,0.0356,-0.0723,0.1518,0.23900415771986627,0.1979,0.1230238377097478,-0.0102,True
DHF1K_653,33,0.8268,0.0353,0.8428,0.0021,0.03,0.0381,-0.1704,0.333,0.058253927363555,0.3674,0.035414621602343786,0.016,True
DHF1K_689,20,0.8289,0.0381,0.8496,0.0038,0.0312,0.0436,-0.3123,-0.0394,0.8689333570587849,0.0745,0.754947706927941,0.0207,True
DHF1K_628,49,0.8589,0.0376,0.8514,0.0044,0.0312,0.0387,-0.0601,-0.0266,0.8562037899136697,-0.0408,0.7808817953273421,-0.0075,True
DHF1K_696,37,0.8638,0.0381,0.856,0.0048,0.0317,0.0409,-0.1495,-0.3652,0.02623735182517937,-0.2,0.23526458168821934,-0.0078,True
DHF1K_637,43,0.8405,0.0394,0.8365,0.0019,0.0317,0.0397,-0.0167,-0.0388,0.8046606864542916,-0.1052,0.5019711200161743,-0.0041,True
DHF1K_670,16,0.8743,0.0279,0.8473,0.0032,0.0321,0.0386,-0.9092,0.1893,0.48261055963316984,0.2032,0.45027997138663767,-0.0271,True
DHF1K_655,32,0.8838,0.0472,0.8818,0.0075,0.0323,0.0435,0.1484,0.5529,0.001031311564239075,0.4972,0.003793847180535996,-0.002,True
DHF1K_607,53,0.8611,0.0368,0.8405,0.0024,0.0327,0.0423,-0.3208,-0.0161,0.9088030195029777,0.0072,0.9589674590938335,-0.0207,True
DHF1K_624,46,0.8507,0.0399,0.8476,0.0035,0.0328,0.0394,0.0216,0.2014,0.1795496551130964,0.2792,0.0601987122548412,-0.0031,True
DHF1K_656,27,0.7784,0.0306,0.8076,0.0049,0.0333,0.0408,-0.7709,0.5087,0.006731821812022555,0.472,0.012938509020963506,0.0292,True
DHF1K_627,40,0.8464,0.0345,0.8238,0.0109,0.034,0.0411,-0.4154,0.1784,0.2705951348540497,0.102,0.5312106813070844,-0.0226,True
