video_id,Target A_mae,Target B_mae,Target C_mae,Target D_mae
DHF1K_601,0.069,0.1769,0.1537,0.0298
DHF1K_602,0.0412,0.0682,0.0672,0.0115
DHF1K_603,0.0381,0.0778,0.0683,0.0164
DHF1K_604,0.0395,0.0852,0.0768,0.0198
DHF1K_605,0.046,0.1317,0.1168,0.0146
DHF1K_606,0.048,0.0971,0.0841,0.0149
DHF1K_607,0.0323,0.0786,0.0699,0.0159
DHF1K_608,0.0373,0.0882,0.0832,0.0169
DHF1K_609,0.0346,0.0772,0.0661,0.012
DHF1K_610,0.0459,0.0934,0.094,0.0234
DHF1K_611,0.0369,0.0649,0.0629,0.0135
DHF1K_612,0.0412,0.0977,0.0866,0.0089
DHF1K_613,0.0607,0.0993,0.0964,0.0167
DHF1K_614,0.0447,0.1674,0.1666,0.0219
DHF1K_615,0.0356,0.0636,0.0615,0.0214
DHF1K_616,0.0416,0.0853,0.0762,0.0228
DHF1K_617,0.0493,0.146,0.1432,0.0312
DHF1K_618,0.0653,0.261,0.253,0.0309
DHF1K_619,0.0468,0.1234,0.0992,0.0133
DHF1K_620,0.062,0.1437,0.1354,0.0214
DHF1K_621,0.055,0.1573,0.1541,0.0203
DHF1K_622,0.0597,0.1259,0.1098,0.014
DHF1K_623,0.0437,0.0808,0.0625,0.0158
DHF1K_624,0.028,0.0547,0.0586,0.0109
DHF1K_625,0.0411,0.1066,0.0918,0.0136
DHF1K_626,0.1037,0.155,0.1424,0.0139
DHF1K_627,0.0328,0.0681,0.0674,0.0207
DHF1K_628,0.029,0.0624,0.0544,0.0117
DHF1K_629,0.0493,0.1089,0.1004,0.0201
DHF1K_630,0.0277,0.0574,0.047,0.01
DHF1K_631,0.0418,0.0737,0.0695,0.0203
DHF1K_632,0.0256,0.0452,0.0461,0.0132
DHF1K_633,0.0461,0.1317,0.1147,0.0223
DHF1K_634,0.0258,0.0558,0.0511,0.0117
DHF1K_635,0.0474,0.1171,0.1038,0.021
DHF1K_636,0.0551,0.1072,0.0964,0.0216
DHF1K_637,0.0325,0.0904,0.079,0.015
DHF1K_638,0.0798,0.1512,0.1339,0.0363
DHF1K_639,0.0623,0.1394,0.117,0.0144
DHF1K_640,0.0428,0.1115,0.1041,0.0266
DHF1K_641,0.0371,0.1162,0.1196,0.0176
DHF1K_642,0.0764,0.2207,0.1976,0.0213
DHF1K_643,0.0559,0.1527,0.1362,0.014
DHF1K_644,0.0523,0.0851,0.0775,0.0132
DHF1K_645,0.0415,0.0905,0.0883,0.0219
DHF1K_646,0.0382,0.1493,0.1303,0.0301
DHF1K_647,0.0373,0.08,0.0879,0.0117
DHF1K_648,0.0388,0.083,0.0822,0.0236
DHF1K_649,0.0455,0.0855,0.0685,0.0165
DHF1K_650,0.0429,0.1093,0.1094,0.0195
DHF1K_651,0.0551,0.1096,0.0864,0.0158
DHF1K_652,0.048,0.0946,0.0784,0.0136
DHF1K_653,0.033,0.0722,0.0643,0.0216
DHF1K_654,0.0547,0.1471,0.1279,0.0258
DHF1K_655,0.0301,0.067,0.0567,0.0177
DHF1K_656,0.0323,0.1686,0.1649,0.0373
DHF1K_657,0.0479,0.1173,0.112,0.0202
DHF1K_658,0.0246,0.0771,0.077,0.0188
DHF1K_659,0.0256,0.0998,0.0811,0.0178
DHF1K_660,0.0366,0.0739,0.0624,0.0132
DHF1K_661,0.0419,0.0855,0.0688,0.014
DHF1K_662,0.0621,0.124,0.1092,0.0144
DHF1K_663,0.0581,0.2254,0.1966,0.0146
DHF1K_664,0.0534,0.1326,0.1186,0.0134
DHF1K_665,0.0473,0.1025,0.0642,0.0224
DHF1K_666,0.0221,0.0632,0.0651,0.0183
DHF1K_667,0.0758,0.2273,0.2049,0.0143
DHF1K_668,0.0473,0.1477,0.1407,0.0217
DHF1K_669,0.0481,0.1002,0.0912,0.024
DHF1K_670,0.0289,0.044,0.031,0.0123
DHF1K_671,0.0453,0.097,0.0911,0.0145
DHF1K_672,0.0364,0.0947,0.0837,0.0149
DHF1K_673,0.0449,0.1008,0.0878,0.0315
DHF1K_674,0.0518,0.1141,0.1044,0.0164
DHF1K_675,0.038,0.1294,0.1226,0.0115
DHF1K_676,0.0378,0.1052,0.1014,0.0137
DHF1K_677,0.0617,0.1433,0.1322,0.0177
DHF1K_678,0.0439,0.092,0.0728,0.013
DHF1K_679,0.0318,0.0615,0.0614,0.0088
DHF1K_680,0.0667,0.1286,0.1275,0.0194
DHF1K_681,0.0441,0.1023,0.089,0.0188
DHF1K_682,0.0385,0.0909,0.0774,0.0127
DHF1K_683,0.0256,0.1009,0.0881,0.0118
DHF1K_684,0.0342,0.0781,0.0726,0.0139
DHF1K_685,0.0355,0.0739,0.0613,0.0136
DHF1K_686,0.0448,0.1368,0.1299,0.0366
DHF1K_687,0.057,0.081,0.0748,0.0223
DHF1K_688,0.0412,0.0795,0.0813,0.0145
DHF1K_689,0.0306,0.0905,0.1033,0.0132
DHF1K_690,0.0507,0.0879,0.0674,0.0204
DHF1K_691,0.0375,0.0738,0.063,0.0096
DHF1K_692,0.0496,0.1136,0.1102,0.0218
DHF1K_693,0.0389,0.0956,0.0859,0.0175
DHF1K_694,0.0455,0.1035,0.1014,0.0165
DHF1K_695,0.0323,0.0946,0.0815,0.0112
DHF1K_696,0.0368,0.0786,0.0725,0.0149
DHF1K_697,0.0436,0.0614,0.0638,0.0181
DHF1K_698,0.0327,0.1141,0.1109,0.0245
DHF1K_699,0.0469,0.0926,0.0849,0.0162
DHF1K_700,0.0606,0.0914,0.0897,0.0134
