target_name,quartile,sample_count,target_mean,pred_mean,mae
Target A,Q1 (0.00-0.25),1007,0.8388,0.8424,0.0455
Target A,Q2 (0.25-0.50),955,0.8398,0.8429,0.0438
Target A,Q3 (0.50-0.75),984,0.8387,0.8426,0.0446
Target A,Q4 (0.75-1.00),1024,0.845,0.842,0.0441
Target B,Q1 (0.00-0.25),1007,0.6185,0.625,0.107
Target B,Q2 (0.25-0.50),955,0.6285,0.6257,0.1037
Target B,Q3 (0.50-0.75),984,0.625,0.6258,0.1028
Target B,Q4 (0.75-1.00),1024,0.6345,0.6254,0.1013
Target C,Q1 (0.00-0.25),1007,0.6305,0.6376,0.0989
Target C,Q2 (0.25-0.50),955,0.6378,0.6378,0.0957
Target C,Q3 (0.50-0.75),984,0.6378,0.6375,0.0918
Target C,Q4 (0.75-1.00),1024,0.6467,0.6377,0.0915
Target D,Q1 (0.00-0.25),1007,0.7664,0.7634,0.0182
Target D,Q2 (0.25-0.50),955,0.7643,0.7632,0.018
Target D,Q3 (0.50-0.75),984,0.7637,0.7628,0.0169
Target D,Q4 (0.75-1.00),1024,0.7605,0.7625,0.0179
